T,rho,c,u,k,alpha,dL/L_293,E,v,rho_e,s,betta,Su,Sy,IntK,
1,8098,,,0.056,-3.697E-06,-0.002914,,,5.440E-07,,-0.00001109,,,0,
2,8098,,,0.12,-3.518E-06,-0.002917,,,5.440E-07,,-0.00001055,,,0.088,
4,8098,0.001977,0,0.248,-3.159E-06,-0.002924,,,5.440E-07,0,-0.000009477,,,0.456,
5,8098,0.002436,0.002207,0.3255,-2.980E-06,-0.002927,,,5.440E-07,0.0004924,-0.00000894,,,0.7428,
6,8098,0.002963,0.004907,0.403,-2.802E-06,-0.00293,,,5.440E-07,0.0009847,-0.000008406,,,1.107,
7,8098,0.003501,0.008139,0.4805,-2.625E-06,-0.002933,,,5.440E-07,0.001483,-0.000007875,,,1.549,
8,8098,0.004047,0.01191,0.558,-2.449E-06,-0.002935,207.9,,5.440E-07,0.001987,-0.000007347,,,2.068,
9,8098,0.004611,0.01624,0.6355,-2.274E-06,-0.002937,207.8,,5.440E-07,0.002497,-0.000006822,,,2.665,
10,8098,0.005203,0.02115,0.713,-2.101E-06,-0.00294,207.8,,5.440E-07,0.003014,-0.000006303,,,3.339,
15,8098,0.008761,0.05606,1.172,-1.251E-06,-0.002948,207.9,,5.440E-07,0.005845,-0.000003753,,,8.052,
20,8099,0.01361,0.112,1.63,-4.307E-07,-0.002952,208.1,,5.440E-07,0.009062,-0.000001292,,,15.06,
25,8099,0.0202,0.1965,2.16,3.618E-07,-0.002952,208.4,,5.440E-07,0.01283,0.000001085,,,24.53,
30,8098,0.02922,0.32,2.69,1.127E-06,-0.002949,208.8,,5.440E-07,0.01734,0.000003381,,,36.66,
40,8098,0.05755,0.7539,3.87,2.575E-06,-0.00293,209.3,,5.460E-07,0.02982,0.000007725,,,69.46,
50,8097,0.1002,1.543,5.01,3.918E-06,-0.002898,209.6,,5.510E-07,0.04743,0.00001175,,,113.9,
75,8094,0.1977,5.267,7.215,6.844E-06,-0.002763,209.2,,5.710E-07,0.1078,0.00002053,,,266.7,
100,8089,0.273,11.15,8.54,9.204E-06,-0.002563,208.2,,5.950E-07,0.1755,0.00002761,,,463.6,
200,8061,0.4248,46.04,11.49,1.427E-05,-0.001389,201.8,,6.910E-07,0.4174,0.00004281,,,1465,
250,8043,0.461,68.19,12.51,1.508E-05,-0.0006552,198.1,,7.360E-07,0.5162,0.00004524,,,2065,
290,8028,0.4834,87.08,13.26,1.537E-05,-0.00004616,194.9,0.3,7.685E-07,0.5863,0.00004611,515,205,2581,
300,8024,0.4902,91.95,13.44,1.543E-05,0.0001079,195.1,,7.770E-07,0.6028,0.00004629,,,2714,
310,8021,0.4922,96.86,13.62,1.550E-05,0.0002626,194.4,,7.846E-07,0.6189,0.0000465,,,2849,
350,8006,0.5002,116.7,14.32,1.582E-05,0.000889,191.6,,8.150E-07,0.6791,0.00004746,,,3408,
400,7987,0.5101,142,15.16,1.611E-05,0.001687,188.1,,8.520E-07,0.7466,0.00004833,,,4145,
600,7908,0.55,248,18.36,1.706E-05,0.005004,174.8,,9.770E-07,0.9615,0.00005118,,,7497,
800,7825,0.576,360.6,21.39,1.836E-05,0.008546,159.1,,0.00000108,1.123,0.00005508,,,11472,
1000,7738,0.602,478.4,24.16,1.935E-05,0.01232,143.8,,0.000001157,1.255,0.00005805,,,16027,
1200,7649,,,26.74,1.963E-05,0.01622,129.1,,0.000001217,,0.00005889,,,21117,
1400,,,,29.32,,,,,0.000001268,,,,,26723,
1600,,,,31.86,,,,,0.000001313,,,,,32841,
